Setting,Scenario,Protocol,BottleneckMbps,BaseOwdMs,Flows,SinkPort,Goodput_Mbps,Util,Delay_ms,Jitter_ms,Loss_pct,Jain,Source
tcp_only,rdma_like_25g,TcpSwift,25000.0,0.002,3,49153/5000,25095.04,1.0038,0.2826,0.0014,0.0,1.0,logs/comparison/rdma_like_25g_TcpSwift.flowmonitor
tcp_only,rdma_like_50g,TcpBbr,50000.0,0.002,3,49153/50000,2.09,0.0,0.0027,0.0,0.0,0.9999,logs/comparison/rdma_like_50g_TcpBbr.flowmonitor
tcp_only,rdma_like_50g,TcpCubic,50000.0,0.002,3,49153/5000,50190.06,1.0038,2.3589,0.0007,0.0013,1.0,logs/comparison/rdma_like_50g_TcpCubic.flowmonitor
tcp_only,rdma_like_50g,TcpNewReno,50000.0,0.002,3,49153/5000,50190.07,1.0038,2.2033,0.0007,0.0028,1.0,logs/comparison/rdma_like_50g_TcpNewReno.flowmonitor
tcp_only,rdma_like_50g,TcpSwift,50000.0,0.002,3,49153/5000,50190.07,1.0038,0.1403,0.0007,0.0,1.0,logs/comparison/rdma_like_50g_TcpSwift.flowmonitor
tcp_only,satellite_geo,TcpBbr,10.0,320.0,3,49153/50000,2.81,0.2807,612.0772,1.3823,9.8277,0.9267,logs/comparison/satellite_geo_TcpBbr.flowmonitor
tcp_only,satellite_geo,TcpCubic,10.0,320.0,3,49153/50000,7.59,0.7587,420.2169,1.675,1.2616,0.9123,logs/comparison/satellite_geo_TcpCubic.flowmonitor
tcp_only,satellite_geo,TcpNewReno,10.0,320.0,3,49153/50000,5.61,0.5608,365.1469,1.6995,0.5907,0.8232,logs/comparison/satellite_geo_TcpNewReno.flowmonitor
tcp_only,satellite_geo,TcpSwift,10.0,320.0,3,49153/50000,8.57,0.8566,391.4186,1.318,0.0,0.9997,logs/comparison/satellite_geo_TcpSwift.flowmonitor
tcp_only,satellite_leo,TcpBbr,50.0,30.0,3,49153/50000,46.33,0.9266,66.8004,0.0923,0.7689,0.933,logs/comparison/satellite_leo_TcpBbr.flowmonitor
tcp_only,satellite_leo,TcpCubic,50.0,30.0,3,49153/50000,49.39,0.9879,70.0979,0.4022,1.0482,0.9998,logs/comparison/satellite_leo_TcpCubic.flowmonitor
tcp_only,satellite_leo,TcpNewReno,50.0,30.0,3,49153/50000,49.24,0.9848,50.5083,0.2941,0.029,0.9909,logs/comparison/satellite_leo_TcpNewReno.flowmonitor
tcp_only,satellite_leo,TcpSwift,50.0,30.0,3,49153/50000,49.46,0.9893,80.6138,0.7366,0.0,1.0,logs/comparison/satellite_leo_TcpSwift.flowmonitor
tcp_only,symmetric_low,TcpBbr,1000.0,0.03,3,49153/50000,482.83,0.4828,0.0692,0.0023,0.0,0.6753,logs/comparison/symmetric_low_TcpBbr.flowmonitor
tcp_only,symmetric_low,TcpCubic,1000.0,0.03,3,49153/50000,1003.62,1.0036,5.5207,0.0356,0.001,1.0,logs/comparison/symmetric_low_TcpCubic.flowmonitor
tcp_only,symmetric_low,TcpNewReno,1000.0,0.03,3,49153/50000,1003.63,1.0036,5.9425,0.0356,0.0044,1.0,logs/comparison/symmetric_low_TcpNewReno.flowmonitor
tcp_only,symmetric_low,TcpSwift,1000.0,0.03,3,49153/50000,1003.63,1.0036,6.9514,0.0363,0.0,1.0,logs/comparison/symmetric_low_TcpSwift.flowmonitor
tcp_only,wan_longhaul,TcpBbr,1000.0,26.0,3,49153/5000,960.13,0.9601,43.1118,0.003,0.4285,0.8887,logs/comparison/wan_longhaul_TcpBbr.flowmonitor
tcp_only,wan_longhaul,TcpCubic,1000.0,26.0,3,49153/5000,977.42,0.9774,31.4582,0.0246,0.0041,0.9995,logs/comparison/wan_longhaul_TcpCubic.flowmonitor
